osm_id,code,fclass,name,lon,lat
358764625,2082,school,Del Norte High School,-124.20953,41.76956
358765380,2082,school,Elk Valley School,-124.15397,41.80956
358772719,2082,school,Pine Grove Elementary School,-124.19425,41.78511
358773441,2082,school,Redwood Elementary School,-124.14925,41.86984
358798383,2082,school,Margaret Keating Elementary School,-124.05257,41.55623
358805549,2082,school,Mountain School,-123.96313,41.8465
358818290,2082,school,Smith River Elementary School,-124.15231,41.92706
410909810,2303,cafe,Klamath River Cafe,-124.03909,41.53051
1746269116,2402,motel,Crescent City Bay View Inn,-124.18676,41.75218
2417346567,2303,cafe,She she's,-123.97646,41.84584
2877251775,2402,motel,Frontstreet Inn,-124.1937,41.75281
2882824853,2303,cafe,Starbucks,-124.19843,41.76148
4075278698,2402,motel,Crescent Beach Motel,-124.16579,41.74136
4075278700,2402,motel,Curly Redwood Lodge,-124.17959,41.74933
4075278701,2402,motel,Super 8 Crescent City,-124.18047,41.74995
4075278702,2402,motel,BEST WESTERN PLUS Northwoods Inn,-124.18153,41.75116
4075278703,2402,motel,Town House Motel,-124.18421,41.75159
4075278704,2402,motel,Quality Inn & Suites Redwood Coast,-124.18548,41.75137
4075278706,2402,motel,Travelodge Crescent City,-124.19442,41.75484
4075278707,2402,motel,Americas Best Value Inn,-124.19819,41.76113
4075278708,2402,motel,A On 8th,-124.207,41.75218
4489681489,2012,community_centre,Community Center,-124.14771,41.92635
5243177221,2303,cafe,Vita Cucina Bakery,-124.19268,41.7534
