Unnamed: 0,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),name,address,lat,lon,Is Early Voting,Is Drop Off,manual
1278,1278,CA,EL DORADO COUNTY,Locality wide location,Lake Tahoe Community College,"1 College Dr, South Lake Tahoe, CA 96150, USA",38.92674,-119.97262,False,False,1
1279,1279,CA,EL DORADO COUNTY,Locality wide location,Fire Station 85,"1050 Wilson Blvd, El Dorado Hills, CA 95762, USA",38.6677,-121.07523,False,False,1
1280,1280,CA,EL DORADO COUNTY,Locality wide location,California Conservation Corps,"1949 Apache Ave, South Lake Tahoe, CA 96150, USA",38.85588,-120.0116,False,False,1
1281,1281,CA,EL DORADO COUNTY,Locality wide location,Cameron Park CSD,"2502 Country Club Dr, Cameron Park, CA 95682, USA",38.66029,-121.00349,False,False,1
1282,1282,CA,EL DORADO COUNTY,Locality wide location,Pollock Pines Community Center,"2675 Sanders Dr, Pollock Pines, CA 95726, USA",38.75954,-120.59091,False,False,1
1283,1283,CA,EL DORADO COUNTY,Locality wide location,El Dorado County Building C,"2850 Fairlane Ct, Placerville, CA 95667, USA",38.72785,-120.82995,False,False,1
1284,1284,CA,EL DORADO COUNTY,Locality wide location,El Dorado County Child Support,"3883 Ponderosa Rd, Shingle Springs, CA 95682, USA",38.66694,-120.93757,False,False,1
1285,1285,CA,EL DORADO COUNTY,Locality wide location,California Conservation Corps,"4411 CA-193, Greenwood, CA 95635, USA",38.90719,-120.90391,False,False,1
1286,1286,CA,EL DORADO COUNTY,Locality wide location,Lions Club,"4701 Missouri Flat Rd, Placerville, CA 95667, USA",38.69339,-120.8232,False,False,1
1287,1287,CA,EL DORADO COUNTY,Locality wide location,Town Hall,"549 Main St, Placerville, CA 95667, USA",38.72951,-120.79762,False,False,1
1288,1288,CA,EL DORADO COUNTY,Locality wide location,Pioneer Park Community Center,"6740 Fairplay Rd, Somerset, CA 95684, USA",38.60824,-120.70288,False,False,1
1289,1289,CA,EL DORADO COUNTY,Locality wide location,El Dorado Hills Library,"7455 Silva Valley Pkwy, El Dorado Hills, CA 95762, USA",38.67204,-121.06459,False,False,1
50877,50879,CA,EL DORADO COUNTY,Locality wide location,California Welcome Center,"2085 Vine St #105, El Dorado Hills, CA 95762, USA",38.65154,-121.06272,False,False,1
