idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
146,-122.3142,38.2043,0.26245,0.84693,0.40181,0.56209,0.0,0.21733,0.05451,0.02347,0.84765,0.59242,0.22455,0.82347,0.38368,0.39364
219,-122.33339,38.23272,0.26245,0.6704,0.40469,0.56209,0.0,0.21733,0.05451,0.02347,0.84765,0.59242,0.0278,0.34513,0.31336,0.32069
564,-122.12564,38.33014,0.0,0.77798,0.37726,0.05018,0.0,0.49819,0.31336,0.50794,0.0,0.75668,0.07942,0.40036,0.29097,0.30853
603,-122.12585,38.33734,0.0,0.0,0.35957,0.05018,0.0,0.49819,0.31336,0.50794,0.0,0.75668,0.08448,0.6556,0.24639,0.25086
604,-122.11669,38.3375,0.0,0.87112,0.36101,0.05018,0.0,0.49819,0.31336,0.50794,0.0,0.75668,0.08412,0.81227,0.31964,0.33596
628,-122.26348,38.34203,0.54116,0.99458,0.47545,0.63899,0.74838,0.18628,0.02347,0.09567,0.30686,0.69422,0.26101,0.9769,0.48795,0.48576
985,-122.43966,38.40339,0.26245,0.0,0.36823,0.56209,0.0,0.21733,0.05451,0.02347,0.84765,0.59242,0.57292,0.51047,0.33762,0.33848
1001,-122.29296,38.40626,0.54116,0.88953,0.37581,0.63899,0.74838,0.18628,0.02347,0.09567,0.30686,0.69422,0.37798,0.9,0.43875,0.42699
1048,-122.24733,38.41432,0.54116,0.9343,0.38773,0.63899,0.74838,0.18628,0.02347,0.09567,0.30686,0.69422,0.16462,0.95487,0.40157,0.38085
1090,-122.24755,38.42152,0.0,0.6704,0.35235,0.05018,0.0,0.49819,0.31336,0.50794,0.0,0.75668,0.58484,0.96173,0.43489,0.45538
1258,-122.20254,38.45114,0.09278,0.0,0.42527,0.42347,0.19531,0.75848,0.15523,0.15957,0.19422,0.26931,0.73249,0.22094,0.3189,0.32418
1372,-122.37755,38.46942,0.0,0.9852,0.37509,0.05018,0.0,0.49819,0.31336,0.50794,0.0,0.75668,0.49025,0.42238,0.3972,0.42256
1828,-122.23266,38.53697,0.09278,0.0,0.3704,0.42347,0.19531,0.75848,0.15523,0.15957,0.19422,0.26931,0.55668,0.26643,0.33265,0.33733
2170,-122.58344,38.58039,0.82238,0.89603,0.48014,0.82635,0.8657,0.87112,0.65848,0.70036,0.40289,0.04043,0.91372,0.99711,0.71995,0.72199
2184,-122.45477,38.58307,0.92347,0.76245,0.40975,0.52166,0.9361,0.42274,0.34585,0.34657,0.47329,0.95379,0.97762,0.97004,0.64706,0.63807
2226,-122.58369,38.58758,0.82238,0.0,0.58267,0.82635,0.8657,0.87112,0.65848,0.70036,0.40289,0.04043,0.92238,0.88736,0.62008,0.60998
2227,-122.5745,38.58778,0.82238,0.84693,0.48195,0.82635,0.8657,0.87112,0.65848,0.70036,0.40289,0.04043,0.86426,0.78123,0.66045,0.66141
2360,-122.40032,38.60576,0.09278,0.0,0.36282,0.42347,0.19531,0.75848,0.15523,0.15957,0.19422,0.26931,0.67112,0.36101,0.37395,0.3811
2412,-122.42814,38.6124,0.92347,0.7917,0.37545,0.52166,0.9361,0.42274,0.34585,0.34657,0.47329,0.95379,0.67112,0.33755,0.54023,0.52444
2519,-122.43781,38.6266,0.09278,0.83538,0.3574,0.42347,0.19531,0.75848,0.15523,0.15957,0.19422,0.26931,0.67112,0.62491,0.44935,0.46714
