geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
6057000102,57,0.01506,1,0.98274,0,0.0874,0,0.0491,0,0.04503,0,0.00511,1,0.00696,1,0.06392,0,0.86335,0,0.06915,0,0.12432,0,0.00953,0.05959,6677,20.05899,332.86819,0.93245,0.92227,0.98113,0.82421
6057000103,57,0.0,1,0.98659,0,0.07988,0,0.06241,0,0.0759,0,0.00693,1,0.0,1,0.07358,0,0.86593,0,0.08232,0,0.04093,0,0.0348,0.11761,7893,72.58648,108.73926,0.89831,0.81026,0.94719,0.80925
6057000104,57,0.01819,1,0.93162,0,0.16233,0,0.12301,0,0.05399,0,0.01334,1,0.0,1,0.08638,0,0.87298,0,0.03302,0,0.10359,0,0.01132,0.02954,3190,12.44993,256.2263,0.93092,0.95211,0.87582,0.71975
6057000105,57,0.01564,1,0.96595,0,0.15174,0,0.08559,0,0.07063,0,0.00095,1,0.00032,1,0.06872,0,0.90232,0,0.03252,0,0.28258,0,0.00544,0.03289,2792,44.04481,63.38999,0.89991,0.74513,0.98158,0.84907
6057000200,57,0.0165,1,0.98641,0,0.07811,0,0.14827,0,0.04198,0,0.00187,1,0.01012,1,0.04723,1,0.8913,0,0.02771,0,0.0,1,0.00824,0.03637,2700,196.0218,13.77398,0.91131,0.79532,0.92003,0.89207
6057000300,57,0.01091,1,0.98669,0,0.10824,1,0.07165,0,0.04764,0,0.00825,1,0.00413,1,0.09977,0,0.84321,0,0.02852,0,0.02719,0,0.00448,0.02574,2353,58.58627,40.163,0.93593,0.87362,0.99488,0.84494
6057000401,57,0.00853,1,0.98835,0,0.09468,0,0.09026,1,0.04167,0,0.00709,1,0.00017,1,0.10271,0,0.87238,0,0.06191,0,0.0976,0,0.01323,0.04835,5744,19.75872,290.70707,0.94141,0.87288,0.87915,0.87439
6057000402,57,0.00465,1,0.93704,0,0.18002,0,0.18694,0,0.04763,1,0.00375,1,0.02515,1,0.04228,1,0.91652,0,0.05929,0,0.0,1,0.03189,0.06214,6926,141.52479,48.93842,0.92886,0.8849,0.9408,0.8808
6057000501,57,0.0088,1,0.84441,0,0.14189,0,0.14035,0,0.04152,1,0.01868,1,0.00109,1,0.03427,0,0.89646,0,0.05941,0,0.06184,0,0.24626,0.05386,6034,10.80548,558.42058,0.93044,0.87998,0.95232,0.85287
6057000502,57,0.09218,1,0.90738,0,0.18002,0,0.17161,0,0.04739,0,0.04981,1,0.0,1,0.15467,0,0.73825,0,0.04294,0,0.0465,0,0.04753,0.04588,4664,11.12668,419.17258,0.92055,0.87421,0.90434,0.81849
6057000600,57,0.00534,1,0.91444,0,0.19879,0,0.20788,0,0.10845,0,0.00144,1,0.00663,1,0.15267,0,0.7949,0,0.06834,0,0.38089,0,0.13182,0.04857,6237,14.79181,421.65219,0.9154,0.88134,0.89765,0.79025
6057000701,57,0.01736,1,0.98432,0,0.12626,0,0.04718,0,0.05686,0,0.00245,1,0.0,1,0.07554,0,0.87647,0,0.0772,0,0.03638,0,0.03632,0.05836,7436,226.61492,32.81337,0.94663,0.94784,0.95313,0.88035
6057000702,57,0.0016,1,0.98729,0,0.08541,0,0.10798,0,0.05208,0,0.0061,1,0.00508,1,0.05589,0,0.89202,0,0.04019,0,0.0,1,0.01844,0.04011,3968,49.17913,80.68464,0.9368,0.95329,0.90541,0.90238
6057000801,57,0.00934,1,0.97802,0,0.06691,0,0.08646,0,0.0444,0,0.00826,1,0.00789,1,0.06165,1,0.90037,0,0.05561,0,0.01843,0,0.02051,0.04064,4888,158.7779,30.78514,0.94876,0.95933,0.97075,0.91529
6057000802,57,0.01236,1,0.99413,0,0.08348,0,0.1453,0,0.11439,0,0.00467,1,0.007,1,0.12124,0,0.7918,0,0.07271,0,0.07762,0,0.1511,0.042,6528,29.09038,224.40405,0.95753,0.95424,0.99545,0.93699
6057000900,57,0.0281,1,0.97134,0,0.10023,0,0.14122,0,0.05967,0,0.05301,0,0.02025,1,0.05647,0,0.85669,0,0.03919,0,0.0,1,0.04187,0.05283,4348,1328.53734,3.27277,0.91034,0.90428,0.97049,0.73313
6057001203,57,0.00764,1,0.97225,0,0.04659,1,0.06895,1,0.026,1,0.01458,1,0.0,1,0.02206,1,0.93696,0,0.02384,0,0.0,1,0.03525,0.03977,2927,21.0873,138.80395,0.90819,0.8818,0.86544,0.88847
6057001204,57,0.02434,1,1.0,0,0.08843,0,0.11351,0,0.07435,1,0.01056,1,0.0,1,0.06951,1,0.88737,0,0.02297,0,0.0,1,0.01452,0.04712,2832,31.63311,89.52645,0.87971,0.79975,0.90395,0.82985
6057001205,57,0.0,1,0.98064,0,0.0644,0,0.03299,0,0.05151,0,0.0056,1,0.0,1,0.04727,1,0.9425,0,0.04724,0,0.0,1,0.02797,0.06501,4537,59.81256,75.85363,0.90759,0.83185,0.87163,0.8549
6057001206,57,0.06174,1,0.97645,0,0.10435,1,0.13612,0,0.07609,0,0.00765,1,0.00135,1,0.30182,0,0.66111,0,0.05592,0,0.34359,0,0.10951,0.0536,6090,15.63444,389.52466,0.89357,0.82334,0.84653,0.83141
