idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
164,-117.61786,33.4291,0.13973,0.70024,0.90241,0.82201,0.84023,0.74349,0.78313,0.59137,0.4858,0.12126,0.44294,0.93384,0.60066,0.59317
397,-117.69354,33.48842,0.2166,0.8904,0.58082,0.5204,0.55072,0.64866,0.53385,0.23656,0.01326,0.38857,0.27257,0.98796,0.45729,0.45347
482,-117.65011,33.50196,0.69229,0.82133,0.0,0.88706,0.79438,0.79557,0.89428,0.84541,0.73492,0.91543,1.0,0.0,0.69917,0.70892
699,-117.78675,33.54081,0.17945,0.0,0.0,0.60181,0.2473,0.04843,0.03004,0.03075,0.59058,0.03704,1.0,0.0,0.394,0.4011
768,-117.64022,33.54507,0.90797,0.0,0.0,0.45603,0.9827,0.13417,0.38502,0.09089,0.1295,0.40956,1.0,0.0,0.44292,0.42771
1046,-117.71665,33.58273,0.22872,0.73296,0.9804,0.6242,0.89889,0.90976,0.55747,0.37913,0.15084,0.81789,1.0,0.0,0.70469,0.71362
1118,-117.64755,33.58853,0.74815,0.5703,0.769,0.05852,0.06012,0.62521,0.22452,0.15399,0.09767,0.30709,0.38165,0.8898,0.3775,0.39355
1157,-117.87989,33.60034,0.13333,0.0,0.0,0.43041,0.06993,0.02665,0.18433,0.0039,0.11869,0.01139,1.0,0.0,0.34381,0.35956
1586,-117.93044,33.64458,0.15263,0.75761,0.97817,0.85398,0.80121,0.39001,0.92991,0.85162,0.97131,0.86073,0.57697,0.91882,0.70535,0.69041
1693,-117.68893,33.64712,0.77882,0.92917,0.0,0.15171,0.22303,0.45169,0.2583,0.25863,0.0455,0.72854,1.0,0.0,0.50987,0.5417
1705,-117.58551,33.64497,0.166,0.9164,0.80379,0.75336,0.63811,0.90415,0.71453,0.48423,0.19748,0.65311,0.52423,0.93902,0.60076,0.59911
1778,-117.64562,33.65345,0.44402,0.73296,0.50709,0.48301,0.6645,0.38897,0.52919,0.34187,0.29453,0.16725,0.41191,0.94832,0.44716,0.43382
1818,-117.99885,33.66746,0.5553,0.0,0.73524,0.85154,0.42629,0.18097,0.3451,0.10274,0.20575,0.14767,0.52908,0.76203,0.40787,0.39543
