idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
44265,-117.02631,34.90266,0.21407,0.0,0.62956,0.99273,0.94113,0.91203,0.646,0.46246,0.99514,0.50267,0.41536,0.55786,0.54278,0.5134
9420,-117.30291,34.25327,0.52494,0.0,0.0,0.68396,0.23649,0.86557,0.22632,0.33542,0.31056,0.18877,1.0,0.0,0.48132,0.50453
62480,-116.07022,35.2634,0.23824,0.0,0.45098,0.52617,0.76917,0.64033,0.44492,0.65044,0.54806,0.3573,1.0,0.0,0.56923,0.57333
2609,-117.35985,34.11033,0.36926,0.95884,0.82686,0.27149,0.51859,0.35817,0.93528,0.92409,0.22568,0.95531,0.44023,0.97187,0.57949,0.57523
9840,-116.79903,34.24748,0.44345,0.88971,0.60737,0.0411,0.54738,0.62333,0.0586,0.13015,0.33893,0.2894,0.44592,0.8629,0.43209,0.4357
5427,-116.07429,34.13825,0.6467,0.0,0.49385,0.78167,0.89177,0.90715,0.11585,0.42535,0.5908,0.94244,1.0,0.0,0.61285,0.60966
18940,-117.37529,34.42806,0.48951,0.93686,0.0,0.09841,0.6159,0.11898,0.79039,0.77551,0.51801,0.92654,1.0,0.0,0.6223,0.63617
28401,-117.16889,34.59622,0.58447,0.0,0.0,0.85694,0.57901,0.70022,0.39765,0.38144,0.62514,0.58422,1.0,0.0,0.53108,0.53395
43846,-117.04409,34.89591,0.21407,0.9321,0.74941,0.99273,0.94113,0.91203,0.646,0.46246,0.99514,0.50267,0.41536,0.71286,0.6316,0.61509
9818,-116.88585,34.24988,0.05463,0.95655,0.0,0.29654,0.10908,0.51294,0.4866,0.49962,0.14628,0.04191,1.0,0.0,0.5711,0.61305
16926,-117.3417,34.39122,0.55053,0.0,0.76421,0.11203,0.19053,0.10296,0.71215,0.54138,0.30451,0.47753,0.17735,0.85127,0.29383,0.28487
