idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
2089,-117.36033,34.09592,0.45279,0.81549,0.92436,0.45117,0.61104,0.05412,0.99543,0.97144,0.62188,0.94916,0.46348,0.92617,0.59782,0.58795
2619,-117.27317,34.10829,0.63714,0.0,0.0,0.90559,0.9804,0.61148,0.89239,0.8892,0.99859,0.74678,1.0,0.0,0.67267,0.66122
3698,-117.58435,34.14417,0.49698,0.90746,0.73364,0.47201,0.0856,0.08162,0.51188,0.59504,0.07871,0.43963,0.28031,0.99398,0.39661,0.40521
23044,-117.2335,34.49684,0.92135,0.91873,0.70796,0.40722,0.14798,0.50072,0.5144,0.43242,0.32967,0.44754,0.0565,0.97308,0.3708,0.37676
25340,-117.31042,34.54194,0.70553,0.81549,0.73922,0.25845,0.41254,0.26701,0.66806,0.72104,0.71643,0.79354,0.38261,0.74755,0.46729,0.46283
42800,-117.10617,34.87585,0.72787,0.0,0.8273,0.66676,0.48083,0.50346,0.63022,0.5829,0.79446,0.52311,0.49248,0.8653,0.54762,0.53049
43507,-117.0181,34.88803,0.69382,0.96965,0.7376,0.87909,0.69916,0.88544,0.58952,0.58043,0.97955,0.80538,0.47338,0.94798,0.65167,0.64391
284,-117.75345,33.99613,0.64176,0.94647,0.65742,0.15691,0.12075,0.02026,0.29156,0.90451,0.07491,0.54121,0.12579,0.99946,0.36368,0.37751
1041,-117.24893,34.05721,0.3249,0.75527,0.85513,0.81513,0.69517,0.58231,0.59612,0.90335,0.59718,0.44048,0.38088,0.93654,0.56697,0.55932
2326,-117.49877,34.10625,0.49239,0.8998,0.824,0.15454,0.88295,0.07197,0.93656,0.91728,0.35298,0.80785,0.41982,0.94063,0.57065,0.54874
3153,-117.61948,34.13048,0.36926,0.96965,0.73306,0.02323,0.06665,0.62215,0.57071,0.5195,0.04922,0.28639,0.49827,0.94045,0.4734,0.50069
3733,-117.28951,34.13754,0.39998,0.85422,0.98796,0.80046,0.10464,0.68743,0.90645,0.92612,0.87956,0.8712,0.15479,0.80774,0.60436,0.60971
421,-117.57078,34.02124,0.29455,0.96548,0.99415,0.24023,0.25671,0.15016,0.80423,0.748,0.12413,0.84386,0.19865,0.94557,0.48692,0.49205
597,-117.3192,34.03002,0.43456,0.75527,0.84201,0.29864,0.37989,0.60722,0.69847,0.51859,0.18198,0.45721,0.27851,0.9512,0.47245,0.47742
855,-117.6563,34.0591,0.15992,0.90746,0.88741,0.2778,0.45075,0.17723,0.99647,0.99647,0.73233,0.45262,0.44895,0.70302,0.56821,0.57066
897,-117.29248,34.05104,0.7884,0.85422,0.0,0.64822,0.82703,0.19718,0.6531,0.7922,0.33667,0.8412,1.0,0.0,0.64281,0.64903
2074,-117.42966,34.0975,0.1655,0.0,0.94902,0.58929,0.39122,0.43622,0.9753,0.97505,0.61783,0.92602,0.3698,0.82153,0.54275,0.53054
4266,-117.42778,34.15517,0.93725,0.9957,0.0,0.08872,0.18599,0.09586,0.68859,0.7371,0.10645,0.67327,1.0,0.0,0.51842,0.55161
22193,-117.35594,34.48531,0.66736,0.0,0.847,0.12174,0.21555,0.1935,0.77252,0.73522,0.54337,0.31776,0.29584,0.92969,0.4031,0.40041
22212,-117.19918,34.48158,0.68376,0.81549,0.75556,0.73725,0.46497,0.74321,0.60181,0.42383,0.77634,0.44108,0.29713,0.90796,0.51087,0.50471
23056,-117.18124,34.49556,0.67581,0.87529,0.0,0.7254,0.44152,0.81739,0.69102,0.4756,0.72695,0.5655,1.0,0.0,0.6603,0.68214
3170,-117.54144,34.12882,0.84504,0.0,0.0,0.16494,0.1062,0.07979,0.59402,0.54792,0.08033,0.86354,1.0,0.0,0.42352,0.44021
3813,-116.44866,34.11444,0.82468,0.97017,0.62902,0.80496,0.76216,0.84286,0.38016,0.26817,0.47024,0.09362,0.04936,0.66943,0.40835,0.39796
4303,-117.25433,34.15113,0.89951,0.96444,0.93686,0.69984,0.17962,0.4503,0.77623,0.71811,0.61835,0.91244,0.07929,0.95888,0.4988,0.4984
17772,-117.28901,34.40441,0.71641,0.99087,0.57617,0.77468,0.4788,0.40228,0.80778,0.62124,0.95633,0.92181,0.42204,0.86782,0.57786,0.57058
18133,-114.14358,34.28651,0.02842,0.85422,0.0,0.95915,0.66995,0.94829,0.19786,0.22622,0.85034,0.09785,1.0,0.0,0.59099,0.60771
19367,-117.34894,34.43466,0.48951,0.99537,0.5638,0.09841,0.6159,0.11898,0.79039,0.77551,0.51801,0.92654,0.3288,0.72423,0.50672,0.50433
45866,-114.61031,34.84376,0.02842,0.92336,0.52982,0.95915,0.66995,0.94829,0.19786,0.22622,0.85034,0.09785,0.48112,0.72264,0.58636,0.58957
61445,-116.70438,35.26156,0.84602,0.97588,0.76689,0.16396,0.98387,0.01096,0.06505,0.26111,0.05202,0.98323,0.01341,0.66167,0.33386,0.3073
430,-117.70933,34.02411,0.68629,0.88971,0.83435,0.27925,0.1458,0.24727,0.79738,0.80604,0.36106,0.91099,0.3979,0.98072,0.49962,0.50554
1584,-117.61212,34.08704,0.30815,0.98354,0.69061,0.24185,0.43803,0.12149,0.94591,0.92089,0.26593,0.74622,0.32617,0.95276,0.51205,0.51227
9008,-117.30315,34.24607,0.52494,0.0,0.84635,0.68396,0.23649,0.86557,0.22632,0.33542,0.31056,0.18877,0.32199,0.83983,0.41345,0.41688
20623,-116.94776,34.44631,0.58447,0.96602,0.62024,0.85694,0.57901,0.70022,0.39765,0.38144,0.62514,0.58422,0.2635,0.68797,0.53612,0.52668
27605,-117.4223,34.58777,0.41943,0.81549,0.91213,0.9874,0.92824,0.82497,0.79884,0.93482,0.99041,0.49299,0.3935,0.68845,0.65079,0.63837
1551,-117.40414,34.08249,0.28152,0.90746,0.70609,0.281,0.50582,0.43467,0.95755,0.90275,0.15305,0.65586,0.49999,0.95988,0.54937,0.55895
492,-117.63118,34.02973,0.46306,0.96602,0.78819,0.19361,0.20569,0.29526,0.81198,0.82016,0.01011,0.71311,0.44635,0.99116,0.49037,0.50452
1078,-117.04105,34.052,0.95942,0.96807,0.63002,0.53457,0.17669,0.22254,0.52853,0.12722,0.15479,0.6235,0.18663,0.94215,0.39138,0.39115
2864,-117.45497,34.11971,0.91116,0.92673,0.88841,0.09086,0.1643,0.18308,0.87612,0.86919,0.13567,0.61434,0.43109,0.95946,0.48997,0.50149
5418,-116.09162,34.13884,0.6467,0.81549,0.71525,0.78167,0.89177,0.90715,0.11585,0.42535,0.5908,0.94244,0.22404,0.61661,0.49693,0.48386
18567,-117.5757,34.42527,0.71844,0.98738,0.0,0.07228,0.52884,0.40432,0.43471,0.50503,0.2154,0.41277,1.0,0.0,0.5415,0.5677
21769,-117.39102,34.4789,0.98636,0.97189,0.86588,0.54728,0.40048,0.24976,0.74092,0.55543,0.18422,0.201,0.12095,0.98348,0.44015,0.4378
21788,-117.31264,34.47709,0.79143,0.81549,0.7343,0.30061,0.839,0.14132,0.76857,0.70591,0.48118,0.5047,0.10032,0.82117,0.46285,0.44218
42857,-116.65986,34.86377,0.23824,0.0,0.48037,0.52617,0.76917,0.64033,0.44492,0.65044,0.54806,0.3573,1.0,0.0,0.57571,0.5798
216,-117.62426,33.97187,0.93519,0.94879,0.46366,0.07946,0.98182,0.02209,0.56824,0.78462,0.32673,0.22549,0.0213,0.59701,0.53556,0.54035
636,-117.0681,34.02383,0.8576,0.0,0.87722,0.60463,0.28071,0.30082,0.5463,0.38005,0.12274,0.64241,0.3069,0.81671,0.37664,0.36493
1384,-117.17911,34.06993,0.70842,0.75527,0.91217,0.97223,0.5407,0.36102,0.88477,0.8636,0.95836,0.61576,0.28673,0.92154,0.59085,0.57815
4260,-117.47982,34.15633,0.92409,0.81549,0.95161,0.02526,0.26877,0.10838,0.59199,0.503,0.0273,0.55161,0.39666,0.9676,0.42133,0.42654
18972,-117.30567,34.42644,0.21611,0.0,0.98136,0.80766,0.86447,0.09933,0.92944,0.89943,0.87556,0.86763,1.0,0.0,0.70629,0.69148
224,-117.71945,33.97382,0.83056,0.85422,0.8756,0.02323,0.1846,0.41225,0.53497,0.43103,0.30246,0.66698,0.4103,0.91988,0.46876,0.48044
368,-117.66625,34.01602,0.4856,0.91413,0.88064,0.18835,0.03562,0.18078,0.71049,0.48461,0.00955,0.55365,0.45613,0.98433,0.45989,0.47394
768,-117.45729,34.04762,0.84027,0.0,0.93069,0.08039,0.60795,0.06858,0.8668,0.77355,0.1413,0.95907,0.47531,0.93279,0.47216,0.4533
4007,-117.67086,34.15318,0.2981,0.92336,0.79228,0.04309,0.04872,0.44168,0.39651,0.54024,0.04384,0.03273,0.38377,0.97133,0.38459,0.40982
4607,-116.97656,34.15131,0.11452,0.0,0.45766,0.32039,0.24853,0.68899,0.00621,0.0762,0.3901,0.50725,1.0,0.0,0.4587,0.4763
17761,-117.34121,34.40564,0.67979,0.98698,0.58308,0.05167,0.29704,0.6352,0.77916,0.80749,0.42022,0.64828,0.44774,0.79882,0.5021,0.52031
26135,-117.15302,34.55256,0.58447,0.96658,0.51294,0.85694,0.57901,0.70022,0.39765,0.38144,0.62514,0.58422,1.0,0.0,0.64632,0.66369
79802,-117.37445,35.75424,0.0744,0.81549,0.0,0.93335,0.84098,0.74472,0.12073,0.05353,0.82638,0.05395,1.0,0.0,0.56416,0.57037
739,-117.70849,34.05295,0.51087,0.96548,0.92731,0.24129,0.88886,0.24531,0.97179,0.99259,0.58975,0.80372,0.28708,0.99672,0.61112,0.59981
806,-117.18015,34.04109,0.55317,0.87529,0.80214,0.88349,0.03618,0.20008,0.1649,0.29989,0.11425,0.12608,0.1731,0.95186,0.32531,0.33191
1362,-117.3264,34.07348,0.30032,0.81549,0.76369,0.89621,0.36403,0.61289,0.99278,0.95286,0.43703,0.66005,0.16282,0.61436,0.59697,0.59907
1576,-117.64678,34.08776,0.16602,0.0,0.0,0.65561,0.86364,0.11631,0.88125,0.80029,0.7227,0.66615,1.0,0.0,0.58582,0.57377
3455,-117.39381,34.13276,0.48951,0.91873,0.0,0.18956,0.38555,0.42341,0.90524,0.91608,0.14852,0.90462,1.0,0.0,0.63871,0.66771
3728,-117.3242,34.13836,0.40218,0.91413,0.85812,0.77264,0.16226,0.11087,0.97285,0.96704,0.7648,0.92459,0.13341,0.95141,0.54745,0.54139
5258,-117.29695,34.17378,0.50103,0.75527,0.86173,0.81054,0.06784,0.44488,0.76536,0.69887,0.47448,0.81104,0.38038,0.86148,0.53695,0.54507
9808,-116.8164,34.24796,0.2903,0.75527,0.5393,0.28525,0.37355,0.82072,0.31091,0.19334,0.47693,0.04521,0.09194,0.69683,0.39903,0.41553
24949,-117.2148,34.53244,0.78935,0.94067,0.73142,0.78535,0.37781,0.74113,0.58595,0.03875,0.94427,0.88853,0.29252,0.97347,0.52255,0.51285
1193,-117.69054,34.07423,0.46761,0.98493,0.83988,0.72924,0.28529,0.22547,0.87753,0.88737,0.23415,0.90921,0.49962,0.98593,0.582,0.5865
1517,-116.57281,34.0533,0.30032,0.0,0.0,0.65478,0.32048,0.39726,0.03581,0.19759,0.35529,0.04947,1.0,0.0,0.40675,0.42041
4096,-116.42234,34.12084,0.82468,0.92673,0.0,0.80496,0.76216,0.84286,0.38016,0.26817,0.47024,0.09362,1.0,0.0,0.58078,0.59721
5052,-116.31733,34.13914,0.37484,0.91873,0.56465,0.87662,0.74501,0.93559,0.18516,0.04083,0.68513,0.17005,1.0,0.0,0.62425,0.63789
7161,-117.10478,34.20514,0.22265,0.0,0.0,0.71419,0.07936,0.32729,0.02063,0.03334,0.46277,0.02317,1.0,0.0,0.40166,0.41866
9429,-117.19002,34.25055,0.1227,0.85422,0.60133,0.02323,0.03772,0.37488,0.1782,0.43516,0.11655,0.07662,1.0,0.0,0.53704,0.58083
10246,-116.85952,34.25637,0.51487,0.0,0.73017,0.21665,0.6647,0.81304,0.38439,0.32386,0.66138,0.43527,0.20917,0.75523,0.42615,0.40732
14881,-117.62988,34.3615,0.39074,0.97248,0.56313,0.02323,0.0439,0.13735,0.22236,0.08438,0.49389,0.13067,0.33806,0.9418,0.3218,0.33243
18565,-117.2537,34.41799,0.73735,0.81549,0.72361,0.32606,0.15213,0.3671,0.78518,0.72749,0.72353,0.83612,0.42323,0.7906,0.51881,0.52513
19781,-117.45315,34.44424,0.57125,0.0,0.47552,0.22827,0.19365,0.83246,0.54769,0.41254,0.20399,0.70271,0.21551,0.54906,0.40617,0.41136
22616,-117.31215,34.4915,0.91494,0.96965,0.63983,0.70549,0.39398,0.63741,0.69434,0.72392,0.51029,0.79006,0.15058,0.87741,0.51789,0.52
101,-117.65994,33.93653,0.74902,0.90746,0.45436,0.60724,0.07755,0.04079,0.51892,0.63502,0.08131,0.29586,1.0,0.0,0.52093,0.5543
629,-117.12871,34.02538,0.90593,0.75527,0.69789,0.2943,0.0,0.06485,0.00141,0.16428,0.02356,0.12235,0.20679,0.9325,0.25813,0.26599
1396,-117.12714,34.06863,0.69629,0.95514,0.70821,0.20428,0.49032,0.30717,0.57667,0.54337,0.13391,0.64652,0.45312,0.91147,0.49599,0.49977
2615,-117.30784,34.10912,0.11273,0.75527,0.86466,0.80837,0.37021,0.36031,0.98424,0.98319,0.92729,0.81847,0.26063,0.74588,0.59139,0.58613
2628,-117.66326,34.11696,0.63855,0.88971,0.81739,0.10914,0.07552,0.30221,0.58487,0.48353,0.33559,0.50159,0.26952,0.98389,0.4251,0.44028
16900,-117.38519,34.39223,0.96473,0.0,0.68226,0.14055,0.41758,0.12206,0.67498,0.63682,0.15772,0.62879,1.0,0.0,0.51107,0.52045
21801,-117.26039,34.47585,0.86238,0.99878,0.0,0.46856,0.17117,0.08247,0.16075,0.14128,0.04498,0.35558,1.0,0.0,0.51448,0.54282
885,-117.39642,34.05346,0.31944,0.87529,0.63772,0.4565,0.76139,0.62138,0.95222,0.98663,0.53243,0.96606,0.42549,0.79454,0.59141,0.58594
3195,-117.16864,34.12017,0.45999,0.92942,0.85659,0.04733,0.0658,0.15587,0.52073,0.29158,0.07635,0.83954,0.11053,0.94672,0.37445,0.38232
3464,-117.21173,34.12845,0.63506,0.0,0.89663,0.20122,0.29563,0.23514,0.86539,0.89061,0.42848,0.74481,0.31444,0.88729,0.44446,0.43551
9428,-116.91218,34.24338,0.00141,0.94993,0.0,0.58072,0.35051,0.58609,0.51273,0.49065,0.48316,0.43263,1.0,0.0,0.58145,0.60909
9818,-117.21581,34.2584,0.42481,0.87529,0.70173,0.67259,0.01656,0.61555,0.04712,0.45318,0.75896,0.40359,0.04301,0.91568,0.36293,0.37225
24562,-117.34577,34.52834,0.97835,0.95813,0.0,0.30862,0.47078,0.42568,0.73131,0.60772,0.52145,0.48083,1.0,0.0,0.58036,0.60337
3176,-117.24666,34.12208,0.80837,0.95176,0.93414,0.70686,0.4636,0.76739,0.959,0.91471,0.77785,0.83431,0.2279,0.80259,0.62852,0.62933
3428,-117.54121,34.13603,0.58447,0.96326,0.0,0.04905,0.08372,0.0341,0.56369,0.53935,0.01536,0.58182,1.0,0.0,0.46536,0.49994
5755,-116.05659,34.14485,0.67047,0.94545,0.70136,0.90418,0.97694,0.7912,0.44145,0.12376,0.94937,0.97976,0.15985,0.61121,0.51929,0.48896
8022,-116.36668,34.19845,0.22701,0.81549,0.51342,0.89152,0.52081,0.87695,0.25617,0.15207,0.4412,0.03388,0.13796,0.62657,0.37111,0.36659
25353,-117.25812,34.5407,0.78935,0.97405,0.59109,0.78535,0.37781,0.74113,0.58595,0.03875,0.94427,0.88853,0.18958,0.72924,0.51284,0.50402
35853,-117.32969,34.74428,0.00596,0.0,0.0,0.40448,0.82962,0.80291,0.65717,0.75379,0.93399,0.55612,1.0,0.0,0.60582,0.60713
467,-117.0167,34.00807,0.85308,0.0,0.78937,0.60324,0.02344,0.09003,0.3261,0.32822,0.03182,0.08909,0.14375,0.89225,0.25868,0.25517
1214,-117.15339,34.06207,0.82468,0.96008,0.863,0.24349,0.20405,0.63357,0.53146,0.13661,0.13227,0.96,0.37559,0.70919,0.449,0.45908
2315,-117.59412,34.1083,0.67394,0.85422,0.0,0.72843,0.26779,0.43369,0.64984,0.60675,0.22279,0.91002,1.0,0.0,0.62638,0.65111
5651,-117.34875,34.18221,0.9546,0.0,0.0,0.14537,0.89901,0.14329,0.72332,0.54889,0.03902,0.73017,1.0,0.0,0.5083,0.50095
6023,-117.35719,34.18962,0.8412,0.85422,0.0,0.44959,0.11338,0.19813,0.70522,0.53582,0.23496,0.89162,1.0,0.0,0.57403,0.60077
674,-117.49217,34.04118,0.65158,0.87529,0.90207,0.08376,0.34954,0.17268,0.95298,0.88428,0.23707,0.78549,0.50327,0.98669,0.54997,0.55654
1616,-117.4648,34.08386,0.74676,0.87529,0.81522,0.08453,0.87574,0.13567,0.98667,0.90937,0.17596,0.95346,0.49889,0.96629,0.59385,0.5822
