Unnamed: 0,name,address,lat,lon,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),Is Early Voting,Is Drop Off,manual
3811,SYCAMORE ROCKS ELEMENTARY SCHOOL,"23450 S Rd, Apple Valley, CA 92307, USA",34.55306,-117.15283,3812.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1AVUUNI0011, C08S16A33E1B1AVUUNI0012, C08S21A33E1B1AVUAP50298, C08S21A33E1B1AVUAP50305, C08S21A33E1B1AVUAP51996, C08S16A33E1B1AVUUNI1997, C08S21A33E1B1AVUAP32170, C08S21A33E1B1AVUAP32261",False,False,1.0
3812,SYCAMORE ROCKS ELEMENTARY SCHOOL,"23450 S Rd, Apple Valley, CA 92307, USA",34.55306,-117.15283,3813.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1AVUUNI0011, C08S16A33E1B1AVUUNI0012, C08S21A33E1B1AVUAP50298, C08S21A33E1B1AVUAP50305, C08S21A33E1B1AVUAP51996, C08S16A33E1B1AVUUNI1997, C08S21A33E1B1AVUAP32170, C08S21A33E1B1AVUAP32261",True,False,1.0
3813,SANDIA ACADEMY,"21331 Sandia Rd, Apple Valley, CA 92308, USA",34.46282,-117.19874,3814.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1AVUUNI0015, C08S16A33E1B1AVUUNI0018, C08S16A33E1B1AVUUNI0019, C08S16A33E1B1AVUUNI0013, C08S16A33E1B1AVUUNI0014, C08S21A33E1B1AVUAP40322, C08S21A33E1B1AVUAP40323, C08S16A33E1B1AVUUNI1608, C08S21A33E1B1AVUAP41609, C08S16A33E1B1AVUUNI1982, C08S16A33E1B1AVUUNI1983, C08S16A33E1B1AVUUNI1984, C08S16A33E1B1AVUUNI1979, C08S16A33E1B1AVUUNI1985, C08S21A33E1B1AVUAP41986, C08S21A33E1B1AVUAP41987, C08S21A33E1B1AVUAP52265",False,False,1.0
3814,SANDIA ACADEMY,"21331 Sandia Rd, Apple Valley, CA 92308, USA",34.46282,-117.19874,3815.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1AVUUNI0015, C08S16A33E1B1AVUUNI0018, C08S16A33E1B1AVUUNI0019, C08S16A33E1B1AVUUNI0013, C08S16A33E1B1AVUUNI0014, C08S21A33E1B1AVUAP40322, C08S21A33E1B1AVUAP40323, C08S16A33E1B1AVUUNI1608, C08S21A33E1B1AVUAP41609, C08S16A33E1B1AVUUNI1982, C08S16A33E1B1AVUUNI1983, C08S16A33E1B1AVUUNI1984, C08S16A33E1B1AVUUNI1979, C08S16A33E1B1AVUUNI1985, C08S21A33E1B1AVUAP41986, C08S21A33E1B1AVUAP41987, C08S21A33E1B1AVUAP52265",True,False,1.0
3815,MARIANA RANCHOS COUNTY WATER DISTRICT,"9600 Manzanita St, Apple Valley, CA 92308, USA",34.42587,-117.20558,3816.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1AVUUNI0016, C08S16A33E1B1AVUUNI0017, C08S16A33E1B1AVUUNI1980, C08S16A33E1B1AVUUNI1981, C08S16A33E1B1AVUUNI2191",False,False,1.0
3816,MARIANA RANCHOS COUNTY WATER DISTRICT,"9600 Manzanita St, Apple Valley, CA 92308, USA",34.42587,-117.20558,3817.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1AVUUNI0016, C08S16A33E1B1AVUUNI0017, C08S16A33E1B1AVUUNI1980, C08S16A33E1B1AVUUNI1981, C08S16A33E1B1AVUUNI2191",True,False,1.0
3817,HINKLEY SENIOR CENTER,"35997 Mountain View Rd, Hinkley, CA 92347, USA",34.90457,-117.17079,3818.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1BRUUNI0031, C08S16A33E1B1BRUUNI0042, C08S16A33E1B1BRUUNI2071",False,False,1.0
3818,HINKLEY SENIOR CENTER,"35997 Mountain View Rd, Hinkley, CA 92347, USA",34.90457,-117.17079,3819.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1BRUUNI0031, C08S16A33E1B1BRUUNI0042, C08S16A33E1B1BRUUNI2071",True,False,1.0
3819,FIRST UNITED METHODIST CHURCH (BARSTOW),"404 E Mountain View St, Barstow, CA 92311, USA",34.89279,-117.02342,3820.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1BRUUNI0039, C08S16A33E1B1BRUUNI0040, C08S16A33E1B3BRUBA40132, C08S16A33E1B3BRUBA40133, C08S16A33E1B3BRUBA40134, C08S16A33E1B3BRUBA20137, C08S16A33E1B3BRUUNI0148, C08S16A33E1B3BRUUNI0149, C08S16A33E1B3BRUBA11861, C08S16A33E1B3BRUBA41862, C08S16A33E1B3BRUBA42073, C08S16A33E1B3BRUBA42074, C08S16A33E1B3BRUUNI2075, C08S16A33E1B3BRUBA42076, C08S16A33E1B3BRUBA12077, C08S16A33E1B3BRUBA42093, C08S16A33E1B3BRUBA42094, C08S16A33E1B3BRUBA42279, C08S16A33E1B3BRUUNI2280, C08S16A33E1B3BRUBA42285",False,False,1.0
3820,FIRST UNITED METHODIST CHURCH (BARSTOW),"404 E Mountain View St, Barstow, CA 92311, USA",34.89279,-117.02342,3821.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1BRUUNI0039, C08S16A33E1B1BRUUNI0040, C08S16A33E1B3BRUBA40132, C08S16A33E1B3BRUBA40133, C08S16A33E1B3BRUBA40134, C08S16A33E1B3BRUBA20137, C08S16A33E1B3BRUUNI0148, C08S16A33E1B3BRUUNI0149, C08S16A33E1B3BRUBA11861, C08S16A33E1B3BRUBA41862, C08S16A33E1B3BRUBA42073, C08S16A33E1B3BRUBA42074, C08S16A33E1B3BRUUNI2075, C08S16A33E1B3BRUBA42076, C08S16A33E1B3BRUBA12077, C08S16A33E1B3BRUBA42093, C08S16A33E1B3BRUBA42094, C08S16A33E1B3BRUBA42279, C08S16A33E1B3BRUUNI2280, C08S16A33E1B3BRUBA42285",True,False,1.0
3821,HI-DESERT WORD CENTER,"30918 Soapmine Rd, Barstow, CA 92311, USA",34.91174,-116.9875,3822.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1BRUUNI0043, C08S16A33E1B1BRUUNI0044, C08S16A33E1B3BRUBA40135, C08S16A33E1B3BRUBA11863, C08S16A33E1B3BRUBA41868, C08S16A33E1B3BRUBA12078, C08S16A33E1B1BRUUNI2089, C08S16A33E1B1BRUUNI2090, C08S16A33E1B3BRUBA42091, C08S16A33E1B3BRUBA42092, C08S16A33E1B1BRUUNI2172",False,False,1.0
3822,HI-DESERT WORD CENTER,"30918 Soapmine Rd, Barstow, CA 92311, USA",34.91174,-116.9875,3823.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1BRUUNI0043, C08S16A33E1B1BRUUNI0044, C08S16A33E1B3BRUBA40135, C08S16A33E1B3BRUBA11863, C08S16A33E1B3BRUBA41868, C08S16A33E1B3BRUBA12078, C08S16A33E1B1BRUUNI2089, C08S16A33E1B1BRUUNI2090, C08S16A33E1B3BRUBA42091, C08S16A33E1B3BRUBA42092, C08S16A33E1B1BRUUNI2172",True,False,1.0
3823,ST ANN PARISH,"218 D St, Needles, CA 92363, USA",34.83758,-114.60465,3824.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1NDUNEE0060, C08S16A33E1B1NDUNEE0061",False,False,1.0
3824,ST ANN PARISH,"218 D St, Needles, CA 92363, USA",34.83758,-114.60465,3825.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1NDUNEE0060, C08S16A33E1B1NDUNEE0061",True,False,1.0
3825,BONNIE BAKER SENIOR CENTER,"149350 Ukiah Trail, Big River, CA 92242, USA",34.12883,-114.39326,3826.0,CA,SAN BERNARDINO COUNTY,C08S16A33E1B1NDUUNI0063,False,False,1.0
3826,BONNIE BAKER SENIOR CENTER,"149350 Ukiah Trail, Big River, CA 92242, USA",34.12883,-114.39326,3827.0,CA,SAN BERNARDINO COUNTY,C08S16A33E1B1NDUUNI0063,True,False,1.0
3827,YERMO COMMUNITY SERVICES,"38315 McCormick St, Yermo, CA 92398, USA",34.90426,-116.82447,3828.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1SVUUNI0089, C08S16A33E1B1SVUUNI0090",False,False,1.0
3828,YERMO COMMUNITY SERVICES,"38315 McCormick St, Yermo, CA 92398, USA",34.90426,-116.82447,3829.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1SVUUNI0089, C08S16A33E1B1SVUUNI0090",True,False,1.0
3829,SENIOR CITIZENS BUILDING,"33383 Newberry Rd, Newberry Springs, CA 92365, USA",34.85952,-116.66201,3830.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1SVUUNI0093, C08S16A33E1B1SVUUNI0097",False,False,1.0
3830,SENIOR CITIZENS BUILDING,"33383 Newberry Rd, Newberry Springs, CA 92365, USA",34.85952,-116.66201,3831.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1SVUUNI0093, C08S16A33E1B1SVUUNI0097",True,False,1.0
3831,TRONA COMMUNITY SENIOR CENTER,"13187 Market St, Trona, CA 93562, USA",35.75883,-117.37721,3832.0,CA,SAN BERNARDINO COUNTY,C08S16A33E1B1TJUUNI0109,False,False,1.0
3832,TRONA COMMUNITY SENIOR CENTER,"13187 Market St, Trona, CA 93562, USA",35.75883,-117.37721,3833.0,CA,SAN BERNARDINO COUNTY,C08S16A33E1B1TJUUNI0109,True,False,1.0
3833,SILVER LAKES CLUBHOUSE,"27801 Mountain Springs Rd, Helendale, CA 92342, USA",34.75607,-117.34742,3834.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1VUHUNI0120, C08S16A33E1B1VUHUNI0121",False,False,1.0
3834,SILVER LAKES CLUBHOUSE,"27801 Mountain Springs Rd, Helendale, CA 92342, USA",34.75607,-117.34742,3835.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B1VUHUNI0120, C08S16A33E1B1VUHUNI0121",True,False,1.0
3835,CORA M HARPER FITNESS CENTER,"841 Barstow Rd, Barstow, CA 92311, USA",34.88915,-117.02231,3836.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B3BRUBA10136, C08S16A33E1B3BRUBA20138, C08S16A33E1B3BRUBA20139, C08S16A33E1B3BRUBA30140, C08S16A33E1B3BRUBA41867, C08S16A33E1B3BRUBA31869, C08S16A33E1B3BRUBA21870, C08S16A33E1B3BRUBA31857, C08S16A33E1B3BRUBA11858, C08S16A33E1B3BRUBA21871, C08S16A33E1B3BRUBA11859, C08S16A33E1B3BRUBA11860, C08S16A33E1B3BRUBA41864, C08S16A33E1B3BRUBA21865, C08S16A33E1B3BRUBA41866, C08S16A33E1B3BRUBA22087, C08S16A33E1B3BRUBA22079, C08S16A33E1B3BRUBA12080, C08S16A33E1B3BRUBA22081, C08S16A33E1B1BRUUNI2088, C08S16A33E1B3BRUBA32082, C08S16A33E1B3BRUBA32083, C08S16A33E1B3BRUBA22084, C08S16A33E1B3BRUBA22173, C08S16A33E1B3BRUBA22174",False,False,1.0
3836,CORA M HARPER FITNESS CENTER,"841 Barstow Rd, Barstow, CA 92311, USA",34.88915,-117.02231,3837.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B3BRUBA10136, C08S16A33E1B3BRUBA20138, C08S16A33E1B3BRUBA20139, C08S16A33E1B3BRUBA30140, C08S16A33E1B3BRUBA41867, C08S16A33E1B3BRUBA31869, C08S16A33E1B3BRUBA21870, C08S16A33E1B3BRUBA31857, C08S16A33E1B3BRUBA11858, C08S16A33E1B3BRUBA21871, C08S16A33E1B3BRUBA11859, C08S16A33E1B3BRUBA11860, C08S16A33E1B3BRUBA41864, C08S16A33E1B3BRUBA21865, C08S16A33E1B3BRUBA41866, C08S16A33E1B3BRUBA22087, C08S16A33E1B3BRUBA22079, C08S16A33E1B3BRUBA12080, C08S16A33E1B3BRUBA22081, C08S16A33E1B1BRUUNI2088, C08S16A33E1B3BRUBA32082, C08S16A33E1B3BRUBA32083, C08S16A33E1B3BRUBA22084, C08S16A33E1B3BRUBA22173, C08S16A33E1B3BRUBA22174",True,False,1.0
3837,FIRE STATION #96 (FAWNSKIN),"39188 Rim of the World Dr, Fawnskin, CA 92333, USA",34.26986,-116.94709,3838.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B3BVUUNI0152, C08S16A33E1B3BVUUNI0153, C08S16A33E1B3BVUUNI0154, C08S23A33E1B3BVUUNI0582",False,False,1.0
3838,FIRE STATION #96 (FAWNSKIN),"39188 Rim of the World Dr, Fawnskin, CA 92333, USA",34.26986,-116.94709,3839.0,CA,SAN BERNARDINO COUNTY,"C08S16A33E1B3BVUUNI0152, C08S16A33E1B3BVUUNI0153, C08S16A33E1B3BVUUNI0154, C08S23A33E1B3BVUUNI0582",True,False,1.0
