geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_asn,vbm_rate_lat,vbm_rate_youth
6079010002,79,0.00451,1.0,0.96534,0.0,0.03628,1.0,0.07606,0.0,0.27883,1.0,0.01348,1.0,0.05546,1.0,0.16858,1.0,0.7205,0.0,0.01723,0.0,0.44864,0,0.00416,0.01109,3030.0,541.41814,5.59641,0.76277,0.98956,0.71601,0.80767
6079010016,79,0.19219,0.0,0.9718,0.0,0.10631,0.0,0.1763,0.0,0.07744,0.0,0.00786,1.0,0.0,1.0,0.38856,0.0,0.56623,0.0,0.01498,0.0,0.13513,0,0.01587,0.01818,4864.0,273.64384,17.77493,0.72039,0.79757,0.62381,0.7332
6079010101,79,0.04413,1.0,0.97832,0.0,0.06631,0.0,0.10414,0.0,0.0568,0.0,0.01721,1.0,0.00344,1.0,0.18015,0.0,0.79289,0.0,0.00661,0.0,0.25709,0,0.00175,0.00748,1843.0,23.94692,76.96189,0.67971,0.64677,0.62207,0.66978
6079010102,79,0.29994,0.0,0.95957,0.0,0.11094,0.0,0.17834,0.0,0.15471,0.0,0.00626,1.0,0.03809,1.0,0.61009,0.0,0.34001,0.0,0.0185,0.0,0.40269,0,0.05468,0.0179,6989.0,6.2714,1114.42487,0.64385,0.5177,0.57548,0.61221
6079010201,79,0.04132,1.0,0.98459,0.0,0.07813,0.0,0.0683,0.0,0.06635,0.0,0.01927,1.0,0.00234,1.0,0.24683,0.0,0.712,0.0,0.02518,0.0,0.02261,0,0.02785,0.02908,6981.0,43.14948,161.78644,0.738,0.69694,0.61774,0.7077
6079010202,79,0.11091,0.0,0.95047,0.0,0.06519,0.0,0.09361,0.0,0.04146,0.0,0.00525,1.0,0.02739,1.0,0.36053,0.0,0.59576,0.0,0.01608,0.0,0.16552,0,0.01534,0.01936,5491.0,13.61569,403.28486,0.69201,0.63894,0.54749,0.67728
6079010204,79,0.12357,0.0,0.96107,0.0,0.0825,0.0,0.14231,0.0,0.09742,0.0,0.019,1.0,0.0003,1.0,0.3541,0.0,0.5997,0.0,0.01993,0.0,0.35987,0,0.00583,0.01642,5731.0,3.43409,1668.85408,0.7143,0.66909,0.63465,0.67289
6079010205,79,0.07434,0.0,0.9929,0.0,0.05244,0.0,0.0461,0.0,0.12553,0.0,0.00403,1.0,0.00403,1.0,0.36406,0.0,0.61557,0.0,0.01502,0.0,0.3234,0,0.00553,0.01394,4159.0,2.36651,1757.44119,0.69267,0.66427,0.59274,0.64681
6079010300,79,0.04762,0.0,0.97671,0.0,0.07083,0.0,0.08149,1.0,0.04837,0.0,0.00121,1.0,0.0022,1.0,0.25466,0.0,0.70083,0.0,0.03345,0.0,0.1371,0,0.02818,0.03247,10043.0,1683.59485,5.96521,0.75209,0.7559,0.64281,0.70303
6079010403,79,0.0529,0.0,0.97983,0.0,0.10748,0.0,0.08796,0.0,0.03323,1.0,0.02848,0.0,0.00475,1.0,0.13209,0.0,0.83329,0.0,0.01449,0.0,0.17739,0,0.0012,0.01709,3788.0,17.22303,219.93804,0.71973,0.62375,0.63795,0.71091
6079010404,79,0.09795,0.0,0.95786,0.0,0.15187,0.0,0.09562,0.0,0.07369,0.0,0.02938,1.0,0.00326,1.0,0.28685,0.0,0.67397,0.0,0.00825,0.0,0.14627,0,0.01957,0.00931,2249.0,13.49421,166.66411,0.70894,0.73381,0.443,0.73999
6079010503,79,0.0644,1.0,0.9184,0.0,0.17197,0.0,0.0854,0.0,0.09416,0.0,0.00675,1.0,0.01843,1.0,0.11186,0.0,0.83577,0.0,0.0203,0.0,0.1541,0,0.00802,0.02246,5339.0,8.21919,649.57715,0.71686,0.72925,0.66248,0.63022
