provider,lat,lon,num_stops_per_week,score
Altamont Corridor Express,37.4064,-121.96667,10.0,1.0
Altamont Corridor Express,37.32957,-121.90319,10.0,1.0
Altamont Corridor Express,37.35289,-121.93635,10.0,1.0
Capitol Corridor Joint Powers Authority,37.40688,-121.96713,20.0,2.0
Capitol Corridor Joint Powers Authority,37.35322,-121.93645,20.0,2.0
Capitol Corridor Joint Powers Authority,37.32994,-121.9025,20.0,2.0
MVgo Mountain View,37.41543,-122.07617,11.0,1.0
MVgo Mountain View,37.4117,-122.07298,11.0,1.0
MVgo Mountain View,37.41427,-122.07479,11.0,1.0
MVgo Mountain View,37.4157,-122.07563,11.0,1.0
MVgo Mountain View,37.38766,-122.0621,6.0,1.0
MVgo Mountain View,37.3878,-122.06295,11.0,1.0
MVgo Mountain View,37.4046,-122.11138,14.0,1.0
MVgo Mountain View,37.40489,-122.11159,13.0,1.0
MVgo Mountain View,37.39715,-122.10467,14.0,1.0
MVgo Mountain View,37.39685,-122.10476,13.0,1.0
MVgo Mountain View,37.42533,-122.09314,14.0,1.0
MVgo Mountain View,37.42518,-122.09306,16.0,1.0
MVgo Mountain View,37.42784,-122.09767,14.0,1.0
MVgo Mountain View,37.42776,-122.09736,16.0,1.0
MVgo Mountain View,37.43143,-122.09878,31.0,2.0
MVgo Mountain View,37.40085,-122.04776,6.0,1.0
MVgo Mountain View,37.39467,-122.07728,98.0,4.0
MVgo Mountain View,37.40439,-122.05652,12.0,1.0
MVgo Mountain View,37.40144,-122.04758,6.0,1.0
MVgo Mountain View,37.39543,-122.05268,6.0,1.0
MVgo Mountain View,37.3967,-122.05989,11.0,1.0
MVgo Mountain View,37.40827,-122.07794,10.0,1.0
MVgo Mountain View,37.41598,-122.07792,10.0,1.0
MVgo Mountain View,37.41938,-122.07781,10.0,1.0
MVgo Mountain View,37.42357,-122.0718,11.0,1.0
MVgo Mountain View,37.42496,-122.07008,11.0,1.0
MVgo Mountain View,37.41526,-122.07821,10.0,1.0
MVgo Mountain View,37.40817,-122.0782,10.0,1.0
MVgo Mountain View,37.42091,-122.08192,14.0,1.0
MVgo Mountain View,37.42131,-122.08788,14.0,1.0
MVgo Mountain View,37.42148,-122.08879,16.0,1.0
MVgo Mountain View,37.42064,-122.082,16.0,1.0
MVgo Mountain View,37.3955,-122.05322,6.0,1.0
MVgo Mountain View,37.39895,-122.05695,12.0,1.0
MVgo Mountain View,37.39706,-122.05931,5.0,1.0
MVgo Mountain View,37.41968,-122.07813,10.0,1.0
Santa Cruz Metro,37.32518,-121.90052,114.0,1.0
Santa Cruz Metro,37.32422,-121.90034,114.0,1.0
Santa Cruz Metro,37.33029,-121.90269,228.0,2.0
Santa Cruz Metro,37.32517,-121.90094,114.0,1.0
Santa Cruz Metro,37.32721,-121.90044,114.0,1.0
Stanford Marguerite Shuttle,37.43584,-122.17859,76.0,2.0
Stanford Marguerite Shuttle,37.39415,-122.14662,28.0,1.0
Stanford Marguerite Shuttle,37.39468,-122.14637,28.0,1.0
Stanford Marguerite Shuttle,37.4175,-122.14689,14.0,1.0
Stanford Marguerite Shuttle,37.41217,-122.15093,14.0,1.0
Stanford Marguerite Shuttle,37.41397,-122.14982,14.0,1.0
Stanford Marguerite Shuttle,37.4088,-122.15167,14.0,1.0
Stanford Marguerite Shuttle,37.40801,-122.15019,14.0,1.0
Stanford Marguerite Shuttle,37.40795,-122.15032,14.0,1.0
Stanford Marguerite Shuttle,37.40704,-122.14538,14.0,1.0
Stanford Marguerite Shuttle,37.40503,-122.14565,14.0,1.0
Stanford Marguerite Shuttle,37.40224,-122.14553,14.0,1.0
Stanford Marguerite Shuttle,37.39862,-122.14448,14.0,1.0
Stanford Marguerite Shuttle,37.39893,-122.1444,14.0,1.0
Stanford Marguerite Shuttle,37.39577,-122.15021,14.0,1.0
Stanford Marguerite Shuttle,37.39409,-122.14865,14.0,1.0
Stanford Marguerite Shuttle,37.3954,-122.15001,14.0,1.0
Stanford Marguerite Shuttle,37.43729,-122.17664,76.0,2.0
Stanford Marguerite Shuttle,37.43639,-122.17783,76.0,2.0
Stanford Marguerite Shuttle,37.41917,-122.14513,14.0,1.0
Stanford Marguerite Shuttle,37.43137,-122.1812,5.0,1.0
Stanford Marguerite Shuttle,37.41747,-122.14653,14.0,1.0
Stanford Marguerite Shuttle,37.39404,-122.14881,14.0,1.0
Stanford Marguerite Shuttle,37.43049,-122.16331,41.0,2.0
Stanford Marguerite Shuttle,37.42923,-122.169,14.0,1.0
Stanford Marguerite Shuttle,37.43412,-122.18415,12.0,1.0
Stanford Marguerite Shuttle,37.4333,-122.18573,12.0,1.0
Stanford Marguerite Shuttle,37.43175,-122.18857,12.0,1.0
Stanford Marguerite Shuttle,37.43115,-122.19028,12.0,1.0
Stanford Marguerite Shuttle,37.43275,-122.1876,12.0,1.0
Stanford Marguerite Shuttle,37.42264,-122.16595,41.0,2.0
Stanford Marguerite Shuttle,37.42812,-122.16053,41.0,2.0
Stanford Marguerite Shuttle,37.42864,-122.16053,41.0,2.0
Stanford Marguerite Shuttle,37.42163,-122.16823,41.0,2.0
Stanford Marguerite Shuttle,37.42152,-122.16814,41.0,2.0
Stanford Marguerite Shuttle,37.42297,-122.16544,41.0,2.0
Stanford Marguerite Shuttle,37.43021,-122.18029,42.0,2.0
Stanford Marguerite Shuttle,37.42803,-122.18112,96.0,2.0
Stanford Marguerite Shuttle,37.42285,-122.16099,41.0,2.0
Stanford Marguerite Shuttle,37.43083,-122.16327,41.0,2.0
Stanford Marguerite Shuttle,37.42975,-122.18031,42.0,2.0
Stanford Marguerite Shuttle,37.42472,-122.16022,41.0,2.0
Stanford Marguerite Shuttle,37.42234,-122.16371,41.0,2.0
Stanford Marguerite Shuttle,37.42264,-122.16387,41.0,2.0
Stanford Marguerite Shuttle,37.42377,-122.16082,41.0,2.0
Stanford Marguerite Shuttle,37.42255,-122.16207,41.0,2.0
Stanford Marguerite Shuttle,37.43048,-122.1758,41.0,2.0
Stanford Marguerite Shuttle,37.42856,-122.1807,42.0,2.0
Stanford Marguerite Shuttle,37.43891,-122.17863,3.0,1.0
Stanford Marguerite Shuttle,37.43873,-122.1787,4.0,1.0
Stanford Marguerite Shuttle,37.42535,-122.14609,14.0,1.0
Stanford Marguerite Shuttle,37.42343,-122.14236,14.0,1.0
Stanford Marguerite Shuttle,37.43998,-122.16285,55.0,2.0
Stanford Marguerite Shuttle,37.43027,-122.1518,14.0,1.0
Stanford Marguerite Shuttle,37.43772,-122.16033,41.0,2.0
Stanford Marguerite Shuttle,37.42484,-122.14577,14.0,1.0
Stanford Marguerite Shuttle,37.42954,-122.15151,14.0,1.0
Stanford Marguerite Shuttle,37.43906,-122.16239,55.0,2.0
Stanford Marguerite Shuttle,37.44637,-122.1281,5.0,1.0
Stanford Marguerite Shuttle,37.44678,-122.12737,7.0,1.0
Stanford Marguerite Shuttle,37.43701,-122.16113,41.0,2.0
Stanford Marguerite Shuttle,37.43196,-122.1639,41.0,2.0
Stanford Marguerite Shuttle,37.40131,-122.1454,14.0,1.0
Stanford Marguerite Shuttle,37.40812,-122.14545,14.0,1.0
Stanford Marguerite Shuttle,37.40868,-122.14666,14.0,1.0
Stanford Marguerite Shuttle,37.43027,-122.17594,41.0,2.0
Stanford Marguerite Shuttle,37.43033,-122.17592,41.0,2.0
Stanford Marguerite Shuttle,37.43409,-122.17783,152.0,3.0
Stanford Marguerite Shuttle,37.42966,-122.18441,12.0,1.0
Stanford Marguerite Shuttle,37.4296,-122.18427,12.0,1.0
Stanford Marguerite Shuttle,37.42264,-122.14263,14.0,1.0
Stanford Marguerite Shuttle,37.41864,-122.14597,14.0,1.0
Stanford Marguerite Shuttle,37.41185,-122.15152,14.0,1.0
Stanford Marguerite Shuttle,37.40878,-122.14753,14.0,1.0
Stanford Marguerite Shuttle,37.43279,-122.17427,41.0,2.0
Stanford Marguerite Shuttle,37.4336,-122.17401,41.0,2.0
Stanford Marguerite Shuttle,37.43277,-122.17417,75.0,2.0
Stanford Marguerite Shuttle,37.43371,-122.17385,75.0,2.0
Stanford Marguerite Shuttle,37.43581,-122.17273,73.0,2.0
Stanford Marguerite Shuttle,37.44218,-122.16902,119.0,3.0
Stanford Marguerite Shuttle,37.43834,-122.17141,149.0,3.0
Stanford Marguerite Shuttle,37.44212,-122.16952,118.0,3.0
Stanford Marguerite Shuttle,37.44072,-122.17075,117.0,3.0
Stanford Marguerite Shuttle,37.4376,-122.17215,118.0,3.0
Stanford Marguerite Shuttle,37.4356,-122.17315,42.0,2.0
Stanford Marguerite Shuttle,37.43877,-122.17158,122.0,3.0
Stanford Marguerite Shuttle,37.43251,-122.17365,75.0,2.0
Stanford Marguerite Shuttle,37.43219,-122.17273,1.0,1.0
Stanford Marguerite Shuttle,37.43191,-122.17074,15.0,1.0
Stanford Marguerite Shuttle,37.43231,-122.17266,28.0,1.0
Stanford Marguerite Shuttle,37.43484,-122.18199,7.0,1.0
Stanford Marguerite Shuttle,37.43167,-122.18629,19.0,1.0
Stanford Marguerite Shuttle,37.4347,-122.18174,7.0,1.0
Stanford Marguerite Shuttle,37.43008,-122.18801,7.0,1.0
Stanford Marguerite Shuttle,37.4265,-122.18053,12.0,1.0
Stanford Marguerite Shuttle,37.42585,-122.17632,53.0,2.0
Stanford Marguerite Shuttle,37.42662,-122.18052,12.0,1.0
Stanford Marguerite Shuttle,37.42526,-122.17349,53.0,2.0
Stanford Marguerite Shuttle,37.42534,-122.17324,53.0,2.0
Stanford Marguerite Shuttle,37.4261,-122.17692,12.0,1.0
Stanford Marguerite Shuttle,37.42838,-122.18176,12.0,1.0
Stanford Marguerite Shuttle,37.42847,-122.18166,12.0,1.0
Stanford Marguerite Shuttle,37.42852,-122.17621,41.0,2.0
Stanford Marguerite Shuttle,37.42622,-122.17657,41.0,2.0
Stanford Marguerite Shuttle,37.42886,-122.17597,41.0,2.0
Stanford Marguerite Shuttle,37.42626,-122.17674,41.0,2.0
Stanford Marguerite Shuttle,37.43679,-122.17698,76.0,2.0
Stanford Marguerite Shuttle,37.43317,-122.17988,42.0,2.0
Stanford Marguerite Shuttle,37.43722,-122.17458,76.0,2.0
Stanford Marguerite Shuttle,37.43345,-122.1796,42.0,2.0
Stanford Marguerite Shuttle,37.43501,-122.17899,76.0,2.0
Stanford Marguerite Shuttle,37.43717,-122.17374,76.0,2.0
Stanford Marguerite Shuttle,37.444,-122.16629,0.0,0.0
Stanford Marguerite Shuttle,37.44407,-122.1665,14.0,1.0
Stanford Marguerite Shuttle,37.44427,-122.16663,4.0,1.0
Stanford Marguerite Shuttle,37.42369,-122.17065,82.0,2.0
Stanford Marguerite Shuttle,37.42379,-122.17066,106.0,2.0
Stanford Marguerite Shuttle,37.44315,-122.16456,215.0,4.0
Stanford Marguerite Shuttle,37.4427,-122.16424,68.0,2.0
AC TRANSIT,37.45424,-121.91096,90.0,1.0
AC TRANSIT,37.43444,-121.90085,90.0,1.0
AC TRANSIT,37.42208,-121.89313,90.0,1.0
AC TRANSIT,37.45658,-121.91146,90.0,1.0
AC TRANSIT,37.41399,-121.88736,90.0,1.0
AC TRANSIT,37.44651,-122.1277,6.0,1.0
AC TRANSIT,37.44438,-121.90654,90.0,1.0
AC TRANSIT,37.45691,-121.91817,31.0,1.0
AC TRANSIT,37.43229,-122.17266,11.0,1.0
AC TRANSIT,37.43184,-121.89957,90.0,1.0
AC TRANSIT,37.45737,-121.91228,30.0,1.0
AC TRANSIT,37.44954,-121.90962,90.0,1.0
AC TRANSIT,37.45789,-121.91143,121.0,1.0
AC TRANSIT,37.42304,-121.89341,90.0,1.0
AC TRANSIT,37.42738,-121.89582,90.0,1.0
AC TRANSIT,37.43596,-122.17262,11.0,1.0
AC TRANSIT,37.42927,-122.16892,11.0,1.0
AC TRANSIT,37.45223,-121.9102,90.0,1.0
AC TRANSIT,37.45504,-121.91081,90.0,1.0
AC TRANSIT,37.43834,-122.17145,11.0,1.0
AC TRANSIT,37.45212,-121.91048,90.0,1.0
AC TRANSIT,37.4598,-121.91235,120.0,1.0
AC TRANSIT,37.44589,-121.90857,90.0,1.0
AC TRANSIT,37.44667,-122.12754,5.0,1.0
AC TRANSIT,37.43289,-121.89959,90.0,1.0
AC TRANSIT,37.45988,-121.91205,121.0,1.0
AC TRANSIT,37.42985,-121.89776,90.0,1.0
AC TRANSIT,37.4354,-121.90073,90.0,1.0
AC TRANSIT,37.45632,-121.91722,30.0,1.0
AC TRANSIT,37.42675,-121.89574,90.0,1.0
AC TRANSIT,37.4196,-121.89063,90.0,1.0
AC TRANSIT,37.40977,-121.89174,180.0,1.0
AC TRANSIT,37.44528,-121.90724,90.0,1.0
AC TRANSIT,37.41188,-121.88683,90.0,1.0
AC TRANSIT,37.43948,-121.90203,90.0,1.0
AC TRANSIT,37.43858,-121.90167,90.0,1.0
AC TRANSIT,37.43018,-121.89786,90.0,1.0
AC TRANSIT,37.41893,-121.89029,90.0,1.0
AC TRANSIT,37.44958,-121.90993,90.0,1.0
Bay Area Rapid Transit,37.41028,-121.89108,429.0,1.0
Bay Area Rapid Transit,37.36847,-121.87468,429.0,1.0
Bay Area Rapid Transit,37.41028,-121.89108,0.0,0.0
Bay Area Rapid Transit,37.36847,-121.87468,0.0,0.0
Bay Area Rapid Transit,37.41015,-121.89068,0.0,0.0
Bay Area Rapid Transit,37.40995,-121.89121,0.0,0.0
Bay Area Rapid Transit,37.36846,-121.87456,0.0,0.0
Bay Area Rapid Transit,37.3682,-121.87454,0.0,0.0
Bay Area Rapid Transit,37.3687,-121.87471,0.0,0.0
Caltrain,37.43852,-122.15644,0.0,0.0
Caltrain,37.43845,-122.1565,0.0,0.0
Caltrain,37.44348,-122.16461,51.0,4.0
Caltrain,37.4434,-122.1647,51.0,4.0
Caltrain,37.42937,-122.14193,36.0,3.0
Caltrain,37.42933,-122.14198,36.0,3.0
Caltrain,37.40732,-122.10707,36.0,3.0
Caltrain,37.40728,-122.10712,37.0,3.0
Caltrain,37.39446,-122.07596,51.0,4.0
Caltrain,37.3944,-122.07599,51.0,4.0
Caltrain,37.37892,-122.03137,51.0,4.0
Caltrain,37.37879,-122.03142,51.0,4.0
Caltrain,37.3706,-121.99711,36.0,3.0
Caltrain,37.37048,-121.99714,36.0,3.0
Caltrain,37.35324,-121.93608,36.0,3.0
Caltrain,37.35319,-121.93614,37.0,3.0
Caltrain,37.34238,-121.9146,2.0,1.0
Caltrain,37.34234,-121.91468,2.0,1.0
Caltrain,37.32924,-121.90301,51.0,4.0
Caltrain,37.32923,-121.90317,51.0,4.0
Caltrain,37.31174,-121.88372,29.0,2.0
Caltrain,37.31175,-121.884,30.0,3.0
Caltrain,37.2841,-121.84196,2.0,1.0
Caltrain,37.28406,-121.84204,2.0,1.0
Caltrain,37.25242,-121.79764,2.0,1.0
Caltrain,37.25238,-121.79768,2.0,1.0
Caltrain,37.12936,-121.65024,2.0,1.0
