Unnamed: 0,name,address,lat,lon,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),Is Early Voting,Is Drop Off,manual
0,Boulder Creek Odd Fellows Hall,@50161 - Pct 50161  Boulder Creek 95006,34.26063,-116.76976,,,,,,,
1,Enterprise Technology Centre,100 Enterprise Way  Scotts Valley 95066,37.06373,-121.99974,,,,,,,
2,Brookdale Scotts Valley,100 Lockewood Ln  Scotts Valley 95066,37.04866,-122.0362,,,,,,,
3,Christian Life Center,1009 Mission St  Santa Cruz 95060,36.97101,-122.03586,,,,,,,
4,Seventh Day Adventist Church,1024 Cayuga St  Santa Cruz 95062,36.97827,-122.01115,,,,,,,
5,Christ Lutheran Church,10707 Soquel Dr  Aptos 95003,36.97008,-121.87044,,,,,,,
6,Santa Cruz County Health Center,1080 Emeline Ave  Santa Cruz 95060,36.9915,-122.01613,,,,,,,
7,Alianza Charter School,115 Casserly Rd  Watsonville 95076,36.95957,-121.73267,,,,,,,
8,Depot Plaza,119 Center St  Santa Cruz 95060,36.9657,-122.02727,,,,,,,
9,St. John's Church,120 Russell Ave  Felton 95018,37.04762,-122.07387,,,,,,,
10,Episcopal Church Of St. John,125 Canterbury Dr  Aptos 95003,36.97743,-121.91279,,,,,,,
11,Aegis Of Aptos Assisted Living,125 Heather Ter  Aptos 95003,36.98236,-121.9121,,,,,,,
12,Santa Cruz Museum Of Natural History,1305 E Cliff Dr  Santa Cruz 95062,36.96456,-122.00962,,,,,,,
13,Felton Fire House,131 Kirby St  Felton 95018,37.05158,-122.07352,,,,,,,
14,Boulder Creek Fire Station,13230 Highway 9  Boulder Creek 95006,37.12579,-122.12213,,,,,,,
15,Agriculture Extension Service,1432 Freedom Blvd  Watsonville 95076,36.92776,-121.76461,,,,,,,
16,Bonny Doon Union Elementary School,1492 Pine Flat Rd  Santa Cruz 95060,37.06139,-122.14799,,,,,,,
17,Redwood Elementary School,16900 Highway 9  Boulder Creek 95006,37.16838,-122.13504,,,,,,,
18,Las Cumbres Community Center,18261 Las Cumbres Rd  Los Gatos 95033,37.20627,-122.0675,,,,,,,
19,Soquel Conference Center,1931 Old San Jose Rd  Soquel 95073,37.01441,-121.95247,,,,,,,
20,Harbor Light Church,2008 17th Ave  Santa Cruz 95062,36.97941,-121.98158,,,,,,,
21,Roundtree Recreation Room,201 Nobel Dr  Santa Cruz 95060,36.97208,-122.04998,,,,,,,
22,Calabasas Elementary School,202 Calabasas Rd  Watsonville 95076,36.94445,-121.79326,,,,,,,
23,Santa Cruz County Animal Services,2200 7th Ave  Santa Cruz 95062,36.98188,-121.98914,,,,,,,
24,Aptos United Methodist Church,221 Thunderbird Dr  Aptos 95003,36.95816,-121.87435,,,,,,,
25,Senior Citizens Opportunities,222 Market St  Santa Cruz 95060,36.98295,-122.01877,,,,,,,
26,Starlight Elementary,225 Hammer Dr  Watsonville 95076,36.92215,-121.77261,,,,,,,
27,Santa Cruz Friends Meeting House,225 Rooney St  Santa Cruz 95065,36.98917,-122.00378,,,,,,,
28,UCSC @ 2300 Delaware,2300 Delaware Ave  Santa Cruz 95060,36.95639,-122.05871,,,,,,,
29,Landmark Elementary School,235 Ohlone Pkwy  Watsonville 95076,36.91262,-121.77617,,,,,,,
