idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
903,-121.02486,37.32172,0.87251,0.97427,0.54842,0.53006,0.64234,0.40234,0.80912,0.59813,0.05918,0.50901,0.98327,0.0,0.60779,0.62548
2022,-121.14455,37.46457,0.9538,0.91357,0.7317,0.43965,0.41158,0.11591,0.70363,0.64655,0.3538,0.66257,0.98327,0.0,0.60313,0.62195
2370,-120.846,37.49585,0.3614,0.87474,0.0,0.94234,0.71228,0.45368,0.54749,0.47567,0.48421,0.56632,0.98327,0.0,0.59494,0.60331
2701,-120.83726,37.5247,0.78363,0.0,0.67754,0.88749,0.61883,0.22339,0.07602,0.67825,0.56702,0.91719,0.98327,0.0,0.57665,0.57514
3128,-120.9102,37.56015,0.66865,0.94936,0.41614,0.84327,0.73836,0.53357,0.91251,0.81205,0.71965,0.75871,0.98327,0.0,0.70951,0.71945
3491,-120.96498,37.5885,0.21251,0.75836,0.6786,0.61099,0.87018,0.75661,0.89614,0.71123,0.84538,0.99509,0.98327,0.0,0.7353,0.73915
3597,-120.86528,37.59647,0.79345,0.96187,0.42257,0.87766,0.44924,0.23322,0.28164,0.27731,0.21275,0.09228,0.98327,0.0,0.53466,0.55419
3678,-121.00146,37.6026,0.0952,0.66175,0.91649,0.5055,0.1993,0.19439,0.99275,0.99275,0.91357,0.97532,0.98327,0.0,0.69378,0.71325
3780,-120.95619,37.61017,0.23801,0.57322,0.44327,0.38889,0.19368,0.3786,0.69801,0.37205,0.31427,0.92702,0.98327,0.0,0.55368,0.57302
3970,-121.0199,37.62403,0.14105,0.57322,0.82912,0.69006,0.6738,0.38421,0.86924,0.91485,0.99006,0.73965,0.98327,0.0,0.72057,0.72585
4198,-120.76591,37.64032,0.56971,0.0,0.71088,0.32561,0.27942,0.4338,0.61392,0.57041,0.69006,0.58058,0.98327,0.0,0.55073,0.56337
4276,-120.94757,37.64622,0.53275,0.78515,0.42234,0.73181,0.27088,0.69731,0.58187,0.68807,0.55848,0.49029,0.98327,0.0,0.61985,0.64917
4460,-121.00223,37.66017,0.6414,0.81637,0.52561,0.46281,0.0,0.48702,0.25789,0.11368,0.39111,0.0,0.98327,0.0,0.49641,0.53207
4559,-120.93876,37.66788,0.98129,0.87474,0.59474,0.04725,0.34608,0.08877,0.13953,0.43427,0.02842,0.45965,0.98327,0.0,0.51056,0.53793
4731,-120.97527,37.68198,0.47392,0.81637,0.99579,0.49123,0.43906,0.71509,0.43579,0.48994,0.73789,0.3938,0.98327,0.0,0.66561,0.68945
4811,-121.02987,37.68872,0.37567,0.9552,0.0,0.62105,0.75661,0.93743,0.47088,0.23263,0.20246,0.32947,0.98327,0.0,0.59461,0.61291
4968,-121.08458,37.70263,0.81696,0.0,0.8524,0.74573,0.62865,0.25357,0.57158,0.56012,0.1131,0.89649,0.98327,0.0,0.58938,0.5871
5276,-120.94866,37.73257,0.46561,0.75836,0.5917,0.36807,0.20667,0.18608,0.75018,0.71626,0.13135,0.40468,0.98327,0.0,0.56646,0.59525
5546,-120.83999,37.76937,0.89708,0.94842,0.50608,0.78058,0.69006,0.68023,0.47579,0.26023,0.59836,0.82339,0.98327,0.0,0.65438,0.66374
