idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
217,-121.715,38.80631,0.0,0.84936,0.62962,0.73492,0.71005,0.1181,0.58428,0.36563,0.37404,0.0,0.04241,0.0,0.35893,0.33987
298,-121.50322,38.82351,0.29653,0.93126,0.53638,0.39159,0.36051,0.79232,0.15832,0.0958,0.24205,0.37185,0.52358,0.91737,0.43402,0.44787
327,-121.50337,38.83071,0.29653,0.0,0.51554,0.39159,0.36051,0.79232,0.15832,0.0958,0.24205,0.37185,0.38537,0.72651,0.33389,0.31911
499,-121.70727,38.87121,0.0,0.0,0.0,0.73492,0.71005,0.1181,0.58428,0.36563,0.37404,0.0,1.0,0.0,0.45753,0.45272
500,-121.69805,38.87134,0.0,0.0,0.53894,0.73492,0.71005,0.1181,0.58428,0.36563,0.37404,0.0,0.07422,0.54442,0.28167,0.25335
709,-121.54191,38.90941,0.29653,0.0,0.62925,0.39159,0.36051,0.79232,0.15832,0.0958,0.24205,0.37185,1.0,0.0,0.48761,0.50389
932,-121.52419,38.94563,0.29653,0.93967,0.47239,0.39159,0.36051,0.79232,0.15832,0.0958,0.24205,0.37185,0.40914,0.68592,0.3945,0.40269
1061,-121.6078,38.96615,0.2223,0.72761,0.52505,0.52834,0.0,0.6947,0.48665,0.57221,0.7404,0.27349,0.45411,0.86069,0.45171,0.47136
1249,-121.66405,39.00138,0.2223,0.0,0.54662,0.52834,0.0,0.6947,0.48665,0.57221,0.7404,0.27349,0.42779,0.62303,0.37665,0.38318
1521,-121.63791,39.07373,0.97038,0.84936,0.63437,0.17989,0.11261,0.08812,0.35868,0.8947,0.15759,0.88483,0.18208,0.94808,0.38965,0.40199
1522,-121.62866,39.07385,0.63327,0.99086,0.59415,0.05411,0.20512,0.0234,0.40585,0.2819,0.20475,0.74516,0.27057,0.77148,0.34194,0.34282
1555,-121.63807,39.08093,0.97038,0.96417,0.60695,0.17989,0.11261,0.08812,0.35868,0.8947,0.15759,0.88483,0.34954,0.76527,0.43853,0.45765
1556,-121.62882,39.08105,0.63327,0.8713,0.62998,0.05411,0.20512,0.0234,0.40585,0.2819,0.20475,0.74516,0.19342,0.94625,0.33233,0.32919
1592,-121.61047,39.08849,0.63327,0.98318,0.68885,0.05411,0.20512,0.0234,0.40585,0.2819,0.20475,0.74516,0.33492,0.98318,0.38144,0.38559
1626,-121.61988,39.09557,0.63327,0.95137,0.74004,0.05411,0.20512,0.0234,0.40585,0.2819,0.20475,0.74516,0.33492,0.99744,0.43568,0.43926
1627,-121.61062,39.09569,0.58135,0.72761,0.71883,0.01682,0.55064,0.49104,0.38867,0.34845,0.18757,0.86764,0.35466,0.9894,0.45213,0.44805
1659,-121.64781,39.10239,0.97038,0.0,0.0,0.17989,0.11261,0.08812,0.35868,0.8947,0.15759,0.88483,1.0,0.0,0.51142,0.53411
1661,-121.62929,39.10264,0.63327,0.72761,0.82413,0.05411,0.20512,0.0234,0.40585,0.2819,0.20475,0.74516,0.35576,0.97916,0.41149,0.41138
1662,-121.62004,39.10276,0.67678,0.0,0.90457,0.03437,0.1426,0.3766,0.42559,0.64644,0.2245,0.85009,0.42048,0.88519,0.44449,0.44471
1695,-121.64797,39.10959,0.97038,0.84936,0.87751,0.17989,0.11261,0.08812,0.35868,0.8947,0.15759,0.88483,0.27605,0.90859,0.48137,0.49446
1697,-121.62945,39.10984,0.67678,0.72761,0.96015,0.03437,0.1426,0.3766,0.42559,0.64644,0.2245,0.85009,0.22779,0.91335,0.44976,0.46131
1698,-121.6202,39.10996,0.67678,0.79086,0.8808,0.03437,0.1426,0.3766,0.42559,0.64644,0.2245,0.85009,0.21316,0.99817,0.47484,0.48601
1699,-121.61094,39.11008,0.58135,0.99196,0.0,0.01682,0.55064,0.49104,0.38867,0.34845,0.18757,0.86764,1.0,0.0,0.57214,0.59434
1730,-121.64813,39.11679,0.94625,0.72761,0.75393,0.41572,0.22486,0.35247,0.13419,0.95247,0.58062,0.34771,0.26654,0.97514,0.47231,0.48797
1732,-121.62961,39.11703,0.20658,0.0,0.70896,0.88848,0.24899,0.95101,0.44314,0.26618,0.67349,0.50384,0.37258,0.89031,0.4703,0.46313
1733,-121.62035,39.11716,0.65302,0.82742,0.8841,0.87276,0.68629,0.39415,0.9766,0.9766,0.64973,0.79854,0.48958,0.95905,0.6653,0.65698
1762,-121.68533,39.12348,0.94625,0.93967,0.60037,0.41572,0.22486,0.35247,0.13419,0.95247,0.58062,0.34771,0.13894,0.73967,0.38816,0.40224
1765,-121.65755,39.12386,0.94625,0.91261,0.6234,0.41572,0.22486,0.35247,0.13419,0.95247,0.58062,0.34771,0.07971,0.65777,0.37121,0.3839
1766,-121.64829,39.12398,0.94625,0.90494,0.9192,0.41572,0.22486,0.35247,0.13419,0.95247,0.58062,0.34771,0.27642,0.94296,0.49142,0.50709
1767,-121.63903,39.12411,0.94625,0.72761,0.93711,0.41572,0.22486,0.35247,0.13419,0.95247,0.58062,0.34771,0.51554,0.93419,0.59365,0.61282
1768,-121.62977,39.12423,0.20658,0.72761,0.77258,0.88848,0.24899,0.95101,0.44314,0.26618,0.67349,0.50384,0.10201,0.57916,0.44616,0.44719
1769,-121.62051,39.12435,0.65302,0.98537,0.0,0.87276,0.68629,0.39415,0.9766,0.9766,0.64973,0.79854,1.0,0.0,0.70685,0.71943
1770,-121.61125,39.12448,0.65302,0.72761,0.86179,0.87276,0.68629,0.39415,0.9766,0.9766,0.64973,0.79854,0.44717,0.79196,0.63,0.61796
1799,-121.6855,39.13067,0.84497,0.94589,0.62596,0.91627,0.59634,0.32468,0.45887,0.92468,0.68921,0.8223,0.1543,0.97367,0.51012,0.49949
1800,-121.67624,39.1308,0.84497,0.0,0.65338,0.91627,0.59634,0.32468,0.45887,0.92468,0.68921,0.8223,0.15868,0.92907,0.43862,0.41502
1801,-121.66697,39.13093,0.84497,0.99013,0.60768,0.91627,0.59634,0.32468,0.45887,0.92468,0.68921,0.8223,0.17331,0.85448,0.50811,0.50186
1802,-121.65771,39.13105,0.84497,0.99598,0.57294,0.91627,0.59634,0.32468,0.45887,0.92468,0.68921,0.8223,0.16965,0.80548,0.51716,0.51012
1803,-121.64845,39.13118,0.84497,0.97002,0.94077,0.91627,0.59634,0.32468,0.45887,0.92468,0.68921,0.8223,0.21901,0.99781,0.5859,0.57993
1804,-121.63919,39.1313,0.84497,0.97294,0.0,0.91627,0.59634,0.32468,0.45887,0.92468,0.68921,0.8223,1.0,0.0,0.67785,0.69425
1805,-121.62993,39.13143,0.42852,0.82742,0.7075,1.0,0.97697,0.76892,0.56088,0.32505,0.717,0.91481,0.10494,0.55064,0.53799,0.51121
1806,-121.62067,39.13155,0.45192,0.0,0.9053,0.94991,0.91664,0.96673,0.90823,0.86106,0.96673,0.7649,0.07093,0.53346,0.54939,0.51922
1807,-121.61141,39.13167,0.45192,0.94589,0.87642,0.94991,0.91664,0.96673,0.90823,0.86106,0.96673,0.7649,0.30091,0.95137,0.68797,0.67414
1808,-121.60215,39.1318,0.45192,1.0,0.64936,0.94991,0.91664,0.96673,0.90823,0.86106,0.96673,0.7649,0.51481,0.84132,0.6673,0.65659
1837,-121.6764,39.138,0.84497,0.9872,0.60402,0.91627,0.59634,0.32468,0.45887,0.92468,0.68921,0.8223,0.15247,0.64899,0.54321,0.54791
1840,-121.64861,39.13838,0.84497,0.99744,0.0,0.91627,0.59634,0.32468,0.45887,0.92468,0.68921,0.8223,1.0,0.0,0.71373,0.7305
