lat,lon
39.13809,-121.64441
39.13805,-121.64895
39.13804,-121.6523
39.13978,-121.65532
39.14449,-121.65529
39.15045,-121.65282
39.149,-121.64775
39.14714,-121.64411
39.14782,-121.64347
39.143,-121.64404
39.14382,-121.64382
39.14629,-121.63824
39.14681,-121.63902
39.14527,-121.63241
39.1455,-121.63323
39.13952,-121.63034
39.14007,-121.63004
39.13793,-121.62935
39.13812,-121.62946
39.13781,-121.62487
39.13801,-121.62522
39.13784,-121.62278
39.13766,-121.62214
39.13759,-121.61889
39.13775,-121.61925
39.13884,-121.61679
39.13872,-121.61702
39.14167,-121.61638
39.13571,-121.61558
39.13557,-121.61521
39.13318,-121.61447
39.13299,-121.61389
39.1325,-121.61209
39.13265,-121.61225
39.13056,-121.61133
39.13026,-121.61153
39.12888,-121.6118
39.12881,-121.6116
39.12561,-121.60993
39.12574,-121.60982
39.12204,-121.61302
39.12229,-121.61212
39.11989,-121.61637
39.11965,-121.6162
39.11284,-121.61809
39.11259,-121.6182
39.11249,-121.62253
39.11273,-121.62321
39.11869,-121.62478
39.11807,-121.62469
39.12323,-121.62464
39.12728,-121.62516
39.12687,-121.62488
39.12716,-121.62933
39.12758,-121.62967
39.13038,-121.62978
39.12986,-121.62997
39.13245,-121.63115
39.13227,-121.63098
39.13227,-121.63724
39.12961,-121.63509
39.13225,-121.64038
39.13247,-121.64073
39.13272,-121.64373
39.13225,-121.64356
39.12744,-121.63744
39.1272,-121.63747
39.12698,-121.64374
39.12684,-121.64405
39.12377,-121.64402
39.12362,-121.64374
39.11967,-121.64398
39.12027,-121.64381
39.11667,-121.644
39.11648,-121.6438
39.11284,-121.64375
39.11107,-121.64377
39.10695,-121.64366
39.11265,-121.64127
39.11262,-121.63176
39.11256,-121.62683
39.10731,-121.61679
39.10275,-121.61617
39.10082,-121.61621
39.09957,-121.62109
39.09858,-121.62447
39.09836,-121.64756
39.09833,-121.65124
39.09844,-121.65515
39.10359,-121.64407
39.10349,-121.64947
39.14898,-121.62992
39.14899,-121.62612
39.14408,-121.6261
39.14406,-121.62869
39.15212,-121.62999
39.15146,-121.63021
39.15498,-121.63002
39.15462,-121.63022
39.15967,-121.62985
39.15984,-121.62991
39.15932,-121.62547
39.15948,-121.62559
39.1593,-121.62243
39.15947,-121.62287
39.15524,-121.61843
39.15174,-121.62022
39.15213,-121.61973
39.15083,-121.61759
39.15075,-121.61739
39.14736,-121.61773
39.14708,-121.6175
39.14515,-121.61775
39.14545,-121.61752
39.1435,-121.6175
39.1434,-121.61778
39.09843,-121.63335
39.09832,-121.6428
39.27616,-121.66557
39.27168,-121.66496
39.13912,-121.6441
39.13248,-121.6375
39.12325,-121.62489
39.13917,-121.64411
39.09886,-121.63355
39.13932,-121.64376
39.27008,-121.65844
39.27471,-121.657
39.26768,-121.66005
39.27305,-121.67274
39.17611,-121.63436
39.14408,-121.63017
39.1438,-121.63028
